video_id,vllm_description,label
lepHJI4ze-w,"A young man in a red shirt makes an exaggerated, surprised facial expression while stretching blue and orange stretch glue away from a bottle labeled ""STRETCH GLUE"" with a skull and crossbones warning symbol, against a white background.",1
ezwXAlJ5pAY,"The thumbnail features a shocked/horrified bald man with an exaggerated expression on the left side, a woman getting her hair cut with scissors on the right side, a yellow arrow pointing to the cutting action, and the word ""MOM"" in large yellow text at the bottom, suggesting clickbait content about a haircut prank or transformation video.",1
i6_OomloWUg,"This YouTube thumbnail features two shocked or surprised faces with exaggerated expressions - one on the left wearing a neon green shirt with a striped neck collar looking upward in shock, and one on the right labeled ""MOM"" in bright green text, both displaying wide-eyed reactions typical of clickbait content designed to provoke curiosity.",1
VvuuR7HifUY,"The thumbnail shows a staged prank scenario in an elevator where a man in a brown suit appears to be reaching toward a woman in red and blue clothing who looks startled, while another man in a blue tank top stands nearby observing, with a ""REC"" indicator visible in the top left corner suggesting this is a recorded prank video.",1
uwIjrEbywnk,"This black and white thumbnail shows a person lying down with a notably round face and neutral expression, with a yellow oval highlight drawn around their midsection, accompanied by what appears to be another person's hands or arms in the upper portion of the frame.",1
RLkdkdQI-ZU,"The thumbnail displays ""22 SCIENCE TRICKS"" in large, bold yellow and cyan text against a black background, with two hands demonstrating experiments: one holding a lit cigarette and the other squeezing lemon juice from a lemon half, suggesting interactive or chemical demonstrations.",1
7g9xcCMdwns,"A distorted, grotesque face with exaggerated features and a menacing grin is superimposed over a Spider-Man suit with outstretched arms, set against a red and black digital background with a yellow star icon in the top right corner.",1
rSXyLqvlUA0,"A man wearing a blue hoodie with a colorful LEGO brick headset on the left is shown with an astonished expression, with an arrow and ""$3,000"" price tag pointing to the right side where he wears an expensive-looking purple-tinted Apple Vision Pro headset while wearing a red hoodie, both images capturing shocked facial expressions to emphasize the dramatic price difference upgrade.",1
yjex6KjvJ4M,A female soccer player wearing a red and blue jersey with the number 11 stands on the field while a referee in a yellow shirt appears to be showing or about to show a card during a match.,1
XGPex66EyTU,"The thumbnail shows a split-screen comparison between two scenes: on the left (#1), a person in a pink wig sits in a blue pool float with a surprised expression and yellow caution tape across their face, with a city skyline in the background; on the right (#99), a person in a red shirt appears to interact with a polar bear pressing against a cracked glass surface, both labeled with large numbers indicating these are part of a ranked series.",1
Ls5yMv96vXo,A shirtless person with an shocked expression raises both hands while wearing chains across their chest against a bright blue background with various visual effects and imagery.,1
